"FileName","State","Kind","Bytes","Sha256","DistributionReview"
"ferritecore-6.0.1-forge.jar","active","upstream-or-third-party","123034","9c2c9396a49e796d88497758caa4637d2bcbb433c318e2dd9cebcffbaf0f6c54","provider-metadata-required"
"fluid-tick-structure-processor-0.1.0.dirty-forge-1.20.1.jar","active","local-or-patched","37448","b79d588aefb76de6bdf73ef2ab48b7a60223b60aff40676ffe033442c4089519","license-and-authorship-required"
"FramedBlocks-9.4.2.jar","active","upstream-or-third-party","4251277","497d66d71952adf5851b5e14d2df636b5933df8c0ab8799c33db1d9cfb82e66d","provider-metadata-required"
"fruitsdelight-1.1.1.jar","active","upstream-or-third-party","1892593","ed617e625e38fb6d87af8b0092c992daeef6ac66a58f47b78db4a7c6eca6f49b","provider-metadata-required"
"ftb-essentials-forge-2001.2.4.jar","active","upstream-or-third-party","157732","e0022bfe29dc10e373947701dae1bc4ce75ee15fe21f6d89269677fbb9aebf73","provider-metadata-required"
"ftb-library-forge-2001.2.12.jar","active","upstream-or-third-party","780523","f09335944fff8ca3ef37a40e0b125ffb6707759ede258c73f9ce9bac61bfbf96","provider-metadata-required"
"ftb-quests-forge-2001.4.18.jar","active","upstream-or-third-party","1251902","62f0229c45d5bafd9747d129f159818e513df411840744b1beb15e0c68f3b0ca","provider-metadata-required"
"ftb-teams-forge-2001.3.2.jar","active","upstream-or-third-party","252579","b1cb4d82ea9f137a87e12a7aaf3329619294b56f7d70337dfd557a76e10b6e07","provider-metadata-required"
"ftb-xmod-compat-forge-2.1.3.jar","active","upstream-or-third-party","129725","16a8eb9de88d5c33d29cb076cc39dfb337b2c54348e1ef1efe9dd60cf85e5f72","provider-metadata-required"
"fullstackwatchdog-1.0.1+1.19.2-forge.jar","active","upstream-or-third-party","14539","0c845a2812e374edeb6085844294098bb7f774fef4d19fc88c334eadf7b73aa4","provider-metadata-required"
"geckolib-forge-1.20.1-4.8.3.jar","active","upstream-or-third-party","1039046","8b90e11871a58b63816e99c529e6c932bc88e6beb3fec97ad618e22217df3250","provider-metadata-required"
"HungerStrike-1.20.1-8.0.0.jar","active","upstream-or-third-party","33579","b9cc8763c8898bf33a8771c3245fa9dba9524ec92e532461fe7f2ccdbf8f09b9","provider-metadata-required"
"Iceberg-1.20.1-forge-1.1.25.jar","active","upstream-or-third-party","134551","91ad6b459e0c7a16a9f3dc90230248a696600ceec6646aa23263559b8648dbc3","provider-metadata-required"
"immersive_optimization-forge-1.20.1-0.1.4.jar","active","upstream-or-third-party","52117","a5bbd50671a9c4b5ba33d1e710fe8e78d095e7c957aeba4fe292f84e66f52256","provider-metadata-required"
"incontrol-1.20-9.4.6.jar","active","upstream-or-third-party","361894","85d64d0f81f6eb6e1e2fa2a97a0aeabcea9e371498c3853b12c3697891e57f2c","provider-metadata-required"
"indestructible-20.13.0.jar","active","upstream-or-third-party","264932","6de25c515f8284febb9e2f0b2d35e0ecad5a520cde279c424d8a6f2be1554685","provider-metadata-required"
"irons_spellbooks-1.20.1-3.15.4.jar.disabled","disabled","upstream-or-third-party","15144197","dbeabd73fa35b5e5622a7190dcadbb5b91d8fb45dd7f5013658fd4fccf2ec140","provider-metadata-required"
"irons_spellbooks-stub-0.0.0.jar","active","compatibility-stub","27967","ff1776fbaf916e9b8d303b4d5cc80e2c8294e19ae4864cacef87afe30639236e","license-and-authorship-required"
